date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:49:29	213/213	---M--	200	added ('OK')	text/plain	etag:%225fe19d23-d5%22	http://www.leonsintegrations.com/robots.txt		(from )
09:49:30	194879/194879	---MCZ	200	added ('OK')	text/html	date:Tue,%2010%20Sep%202024%2004:18:59%20GMT	http://www.leonsintegrations.com/	C:/Users/ABHISHEK/OneDrive/Desktop/leonsdemo/www.leonsdemo.com/www.leonsintegrations.com/index.html	(from )
09:49:31	8614/8614	---M-Z	200	added ('OK')	application/javascript	etag:W/%2264e73b34-21a6%22	https://client.crisp.chat/l.js	C:/Users/ABHISHEK/OneDrive/Desktop/leonsdemo/www.leonsdemo.com/client.crisp.chat/l.js	(from http://www.leonsintegrations.com/)
09:49:31	6951/6951	---M--	200	added ('OK')	text/css	etag:%22602a5b24-1b27%22	http://www.leonsintegrations.com/wp-content/plugins/awesome-support/assets/admin/css/vendor/magnific-popup.css?ver=6.0.1	C:/Users/ABHISHEK/OneDrive/Desktop/leonsdemo/www.leonsdemo.com/www.leonsintegrations.com/wp-content/plugins/awesome-support/assets/admin/css/vendor/magnific-popup37ad.css	(from http://www.leonsintegrations.com/)
09:49:31	1390/1390	---M--	200	added ('OK')	text/css	etag:%22602a5b24-56e%22	http://www.leonsintegrations.com/wp-content/plugins/awesome-support/assets/admin/css/admin-popup.css?ver=6.0.1	C:/Users/ABHISHEK/OneDrive/Desktop/leonsdemo/www.leonsdemo.com/www.leonsintegrations.com/wp-content/plugins/awesome-support/assets/admin/css/admin-popup37ad.css	(from http://www.leonsintegrations.com/)
09:49:31	8695/8695	---MC-	200	added ('OK')	application/rss+xml	etag:%228abe2da35639503b57ffec7c942f02d0%22	http://www.leonsintegrations.com/feed/	C:/Users/ABHISHEK/OneDrive/Desktop/leonsdemo/www.leonsdemo.com/www.leonsintegrations.com/feed/index.html	(from http://www.leonsintegrations.com/)
09:49:33	51338/51338	---M--	200	added ('OK')	text/css	etag:%22603408e2-c88a%22	http://www.leonsintegrations.com/wp-includes/css/dist/block-library/style.min.css?ver=5.6.14	C:/Users/ABHISHEK/OneDrive/Desktop/leonsdemo/www.leonsdemo.com/www.leonsintegrations.com/wp-includes/css/dist/block-library/style.min3d41.css	(from http://www.leonsintegrations.com/)
09:49:33	2297/2297	---M--	200	added ('OK')	text/css	etag:%225fdc8679-8f9%22	http://www.leonsintegrations.com/wp-includes/css/dist/block-library/theme.min.css?ver=5.6.14	C:/Users/ABHISHEK/OneDrive/Desktop/leonsdemo/www.leonsdemo.com/www.leonsintegrations.com/wp-includes/css/dist/block-library/theme.min3d41.css	(from http://www.leonsintegrations.com/)
09:49:33	2967/2967	---M--	200	added ('OK')	text/css	etag:%22622a5447-b97%22	http://www.leonsintegrations.com/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/vendors-style.css?ver=3.8.1	C:/Users/ABHISHEK/OneDrive/Desktop/leonsdemo/www.leonsdemo.com/www.leonsintegrations.com/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/vendors-style7e2e.css	(from http://www.leonsintegrations.com/)
09:49:33	757/757	---MC-	200	added ('OK')	application/rss+xml	etag:%22c8e4c2453818c996201d082bcbe3de44%22	http://www.leonsintegrations.com/comments/feed/	C:/Users/ABHISHEK/OneDrive/Desktop/leonsdemo/www.leonsdemo.com/www.leonsintegrations.com/comments/feed/index.html	(from http://www.leonsintegrations.com/)
